id;number_consecutive;name;begin;end;published
359;1;;2017-03-06;2017-03-11;
360;2;;2017-03-13;2017-03-18;
361;3;;2017-03-20;2017-03-25;
362;4;;2017-03-27;2017-04-01;
363;5;;2017-04-03;2017-04-08;
364;6;;2017-05-02;2017-05-06;
365;7;;2017-05-08;2017-05-13;
366;8;;2017-05-15;2017-05-20;
367;9;;2017-05-29;2017-06-03;
368;10;;2017-06-06;2017-06-17;
369;11;;2017-06-19;2017-06-24;
370;12;;2017-06-26;2017-07-01;
371;13;;2017-07-03;2017-07-08;
372;14;;2017-07-10;2017-07-15;
373;15;;2017-09-04;2017-09-09;
374;16;;2017-09-11;2017-09-16;
375;17;;2017-09-18;2017-09-23;
376;18;;2017-09-25;2017-09-30;
377;19;;2017-10-09;2017-10-14;
378;20;;2017-10-16;2017-10-21;
379;21;;2017-11-06;2017-11-11;
380;22;;2017-11-13;2017-11-18;
381;23;Relegation;;;
